comnam,ticker,org_id,org_id_candidates,Notes
REALTY INCOME CORP,O,,"D000046402, Advance Realty Group; D000022883, AEGON USA Realty Advisors; D000068954, Amerisouth Realty; D000031572, Apartment Realty Advisors; D000031583, Apple Realty ; D000031605, Arden Realty ; D000031628, Aronov Realty Management ; D000040631, Arvida Realty Services; D000068138, Associated Estates Realty Corp; D000031690, Atlantic Realty ; D000031691, Atlantic Realty Companies; D000041180, Atlantic Realty Development Corp; D000070424, Brandywine Realty Trust; D000060429, Breslin Realty Developers; D000032121, Bridgecreek Realty ; D000043559, Burrell Realty; D000032297, Capital Realty Services; D000032323, Capstone Realty ; D000032368, Carramerica Realty ; D000032386, Castagna Realty ; D000060622, Charles River Realty Investors; D000065280, Clark Realty Capital; D000023347, Commercial Net Lease Realty; D000060781, Connifer Realty; D000049707, Continental Realty; D000060804, Cooper Square Realty; D000070520, Craig Realty Group; D000060863, Crown Assoc Realty; D000033136, Denver West Realty ; D000050293, Duke Realty; D000033377, Edina Realty ; D000043947, Excel Realty Holdings ; D000022483, Farnsworth Realty; D000050822, Federal Realty Investment Trust; D000069529, Fenwick Keats Realty; D000061271, First Hartford Realty; D000050907, First Industrial Realty Trust; D000059212, First Potomac Realty Trust; D000033688, First Realty Management; D000050967, Florida East Coast Realty; D000033825, Friedkin Realty Group; D000051229, Gem Realty Capital; D000039038, Glenborough Realty Trust; D000044286, Goodman Realty; D000061552, Grunberg Realty; D000066632, Healthcare Realty Trust; D000034393, Heartland Realty Investors; D000034425, Henry Realty ; D000051957, Hudson Realty Capital; D000052227, Integra Realty Resources; D000034742, Investors Realty Inc; D000061900, JEMB Realty; D000052548, Jerome Glick Realty; D000039829, JMB Institutional Realty; D000034873, JMB Realty; D000000665, JP Realty; D000034993, Kane Realty; D000035013, Kaufman Realty; D000035038, Keller Williams Realty; D000035095, Kilroy Realty; D000035100, Kimco Realty ; D000043592, Kite Realty Group; D000052774, Klaff Realty; D000052841, L&S Realty; D000062097, Larson Realty Group; D000065702, Lawyers Investment Realty Group; D000052965, LBG Realty Advisors; D000040185, Loeb Partners Realty; D000035444, Long Realty; D000000667, Mack-Cali Realty; D000035561, Majestic Realty ; D000053347, Maly Commercial Realty; D000062288, Mansur Realty; D000062301, Mark Iv Realty; D000035704, McArdle Realty & Consulting ; D000035979, Monument Realty ; D000036120, National Realty & Devlopment; D000054376, Nationwide Realty Investors; D000036187, New Horizons Realty Advisors; D000036214, Next Realty; D000062664, Nily Investment Realty; D000036269, Northstar Realty Finance ; D000036403, Option One Realty Group; D000036447, Oxford Realty Finance ; D000036519, Park Tower Realty; D000043396, Perseus Realty; D000036670, Phillips Development & Realty; D000062914, Planned Realty Group; D000036747, Polis Realty ; D000043634, Premium Realty; D000036818, Price Realty Group ; D000055676, Primary Realty Corp; D000022372, Pritzker Realty Group; D000055764, Provident Realty Advisors; D000063000, Provident Realty Partners; D000021405, Prudential Preferred Realty; D000018058, Prudential Realty; D000021412, Prudential Windmill Realty; D000063025, R&R Realty; D000036951, Ram Realty Services; D000023052, Re/Max Professional Realty; D000000685, Re/Max Realty; D000055948, Realm Realty; D000063062, Realty Investment Co; D000036990, Reckson Assoc Realty; D000037080, Rfr Realty; D000069508, Rising Realty Partners; D000056220, Rodeo Realty; D000063184, Rokeby Realty; D000063261, Sandlian Realty; D000037543, Shire Realty ; D000037620, SL Green Realty ; D000063431, SL Nusbaum Realty; D000037677, Sotheby's Realty; D000030368, Thf Realty; D000030400, Thompson Realty ; D000030434, Time Realty Investments; D000045289, Tishman Hotel & Realty; D000063748, Town West Realty; D000067353, TTR Sotheby's International Realty; D000021470, UBS Realty Investors; D000030733, US Equities Realty ; D000063879, US Realty; D000030808, Verde Realty ; D000030862, Vornado Realty Trust; D000030961, Weingarten Realty Investors ; D000064044, William Cummings Realty; D000031124, Winthrop Realty Trust ; D000031177, Yale Realty Services",No match
ONEOK INC NEW,OKE,D000028149,,
OMNICOM GROUP INC,OMC,D000022170,,
ORACLE CORP,ORCL,D000000422,,
O REILLY AUTOMOTIVE INC NEW,ORLY,D000042427,,
OCCIDENTAL PETROLEUM CORP,OXY,D000000206,,
PAYCHEX INC,PAYX,D000069826,,
PEOPLES UNITED FINANCIAL INC,PBCT,,"D000036602, Peoples Bank ; D000045098, Peoples Energy; D000055334, Peoples Exchange Bank; D000036603, Peoples Gas & North Shore Gas; D000042872, PeopleSoft",No match
PACCAR INC,PCAR,D000028201,,
P G & E CORP,PCG,D000000290,,
PRICELINE GROUP INC,PCLN,D000042443,,
PATTERSON COMPANIES INC,PDCO,D000036547,,
PUBLIC SERVICE ENTERPRISE GP INC,PEG,D000000612,,
PEPSICO INC,PEP,D000000200,,
PFIZER INC,PFE,D000000138,,
PRINCIPAL FINANCIAL GROUP INC,PFG,D000000669,,
PROCTER & GAMBLE CO,PG,D000000485,,
PROGRESSIVE CORP OH,PGR,D000036842,,
PARKER HANNIFIN CORP,PH,D000028227,,
PULTE GROUP INC,PHM,D000028493,,
PERKINELMER INC,PKI,D000055352,,
PROLOGIS INC,PLD,D000044228,,
PHILIP MORRIS INTERNATIONAL INC,PM,D000055403,,
P N C FINANCIAL SERVICES GRP INC,PNC,D000028396,,
PENTAIR PLC,PNR,D000067605,,
PINNACLE WEST CAPITAL CORP,PNW,D000000658,,
P P G INDUSTRIES INC,PPG,D000028426,,
P P L CORP,PPL,D000022195,,
PERRIGO CO PLC,PRGO,D000036624,,
PRUDENTIAL FINANCIAL INC,PRU,D000000141,,
PUBLIC STORAGE,PSA,D000036869,,
PHILLIPS 66,PSX,D000019668,,
P V H CORP,PVH,D000042187,,
QUANTA SERVICES INC,PWR,D000036905,,
PRAXAIR INC,PX,D000028430,,
PIONEER NATURAL RESOURCES CO,PXD,D000059510,,
PAYPAL HOLDINGS INC,PYPL,D000043003,,
QUALCOMM INC,QCOM,D000000794,,
QORVO INC,QRVO,,,No match
RYDER SYSTEMS INC,R,D000028848,,
REYNOLDS AMERICAN INC,RAI,D000000092,,
ROYAL CARIBBEAN CRUISES LTD,RCL,D000037257,,
REGENCY CENTERS CORP,REG,D000037011,,
REGENERON PHARMACEUTICALS INC,REGN,D000067512,,
REGIONS FINANCIAL CORP NEW,RF,D000022216,,
ROBERT HALF INTERNATIONAL INC,RHI,D000037158,,
RED HAT INC,RHT,D000036997,,
TRANSOCEAN LTD,RIG,D000045915,,
RAYMOND JAMES FINANCIAL INC,RJF,D000036970,,
RALPH LAUREN CORP,RL,D000036748,,
ROCKWELL AUTOMATION INC,ROK,D000056216,,
ROPER TECHNOLOGIES INC,ROP,D000056236,,
ROSS STORES INC,ROST,D000042761,,
RANGE RESOURCES CORP,RRC,D000071100,,
REPUBLIC SERVICES INC,RSG,D000023869,,
RAYTHEON CO,RTN,D000000175,,
STARBUCKS CORP,SBUX,D000037780,,
SCANA CORP NEW,SCG,D000028916,,
SCHWAB CHARLES CORP NEW,SCHW,D000000414,,
SEALED AIR CORP NEW,SEE,D000069802,,
SHERWIN WILLIAMS CO,SHW,D000037533,,
SIGNET JEWELERS LTD,SIG,D000043083,,
SMUCKER J M CO,SJM,D000034869,,
SCHLUMBERGER LTD,SLB,D000037414,,
S L GREEN REALTY CORP,SLG,D000037620,,
SNAP ON INC,SNA,D000071346,,
SCRIPPS NETWORKS INTERACTIVE INC,SNI,D000056521,,
SYNOPSYS INC,SNPS,D000030248,,
SOUTHERN CO,SO,D000000168,,
SIMON PROPERTY GROUP INC NEW,SPG,D000037598,,
S & P GLOBAL INC,SPGI,D000035733,,
STAPLES INC,SPLS,D000029185,,
STERICYCLE INC,SRCL,D000029206,,
SEMPRA ENERGY,SRE,D000000415,,
SUNTRUST BANKS INC,STI,D000022269,,
STATE STREET CORP,STT,D000029194,,
SEAGATE TECHNOLOGY PLC,STX,D000022242,,
CONSTELLATION BRANDS INC,STZ,D000025112,,
STANLEY BLACK & DECKER INC,SWK,D000057143,,
SKYWORKS SOLUTIONS INC,SWKS,,,No match
SOUTHWESTERN ENERGY CO,SWN,D000029143,,
SYNCHRONY FINANCIAL,SYF,D000067988,,
STRYKER CORP,SYK,D000030157,,
SYMANTEC CORP,SYMC,D000029309,,
SYSCO CORP,SYY,D000030251,,
A T & T INC,T,D000000076,,
MOLSON COORS BREWING CO,TAP,D000027694,,
TERADATA CORP DE,TDC,D000029380,,
TRANSDIGM GROUP INC,TDG,D000070563,,
T E CONNECTIVITY LTD,TEL,D000022388,,
TEGNA INC,TGNA,D000051182,,
TARGET CORP,TGT,D000000619,,
TIFFANY & CO NEW,TIF,D000030418,,
T J X COMPANIES INC NEW,TJX,D000030442,,
TORCHMARK CORP,TMK,D000000301,,Torchmark is renamed as Globe Life
THERMO FISHER SCIENTIFIC INC,TMO,D000023662,,
TRIPADVISOR INC,TRIP,D000059652,,
T ROWE PRICE GROUP INC,TROW,D000030253,,
TRAVELERS COMPANIES INC,TRV,D000021773,,
TRACTOR SUPPLY CO NEW,TSCO,D000063753,,
TYSON FOODS INC,TSN,D000000460,,
TESORO CORP,TSO,D000057517,,Tesoro is renamed as Andeavor
TOTAL SYSTEM SERVICES INC,TSS,D000029492,,
TIME WARNER INC NEW,TWX,D000000881,,
TEXAS INSTRUMENTS INC,TXN,D000000722,,
TEXTRON INC,TXT,D000000201,,
UNDER ARMOUR INC,UA,D000068106,,
UNITED CONTINENTAL HOLDINGS INC,UAL,D000021464,,"Renamed to United Airlines Holdings, Inc"
U D R INC,UDR,D000063814,,
UNIVERSAL HEALTH SERVICES INC,UHS,D000029589,,
ULTA SALON COSMETICS & FRAG INC,ULTA,D000069528,,
UNITEDHEALTH GROUP INC,UNH,D000000348,,
UNUM GROUP,UNM,D000029594,,
UNION PACIFIC CORP,UNP,D000000118,,
UNITED PARCEL SERVICE INC,UPS,D000000081,,
UNITED RENTALS INC,URI,D000029582,,
U S BANCORP DEL,USB,D000000487,,
UNITED TECHNOLOGIES CORP,UTX,D000000209,,
VISA INC,V,D000029689,,
VARIAN MEDICAL SYSTEMS INC,VAR,D000029636,,
V F CORP,VFC,D000030824,,
VIACOM INC NEW,VIAB,D000000190,,
VALERO ENERGY CORP NEW,VLO,D000022303,,
VULCAN MATERIALS CO,VMC,D000029725,,
VORNADO REALTY TRUST,VNO,D000030862,,
VERISK ANALYTICS INC,VRSK,D000068810,,
VERISIGN INC,VRSN,D000022307,,
VERTEX PHARMACEUTICALS INC,VRTX,D000030819,,
VENTAS INC,VTR,D000030803,,
VERIZON COMMUNICATIONS INC,VZ,D000000079,,
WATERS CORP,WAT,D000030926,,
WALGREENS BOOTS ALLIANCE INC,WBA,D000029736,,
WESTERN DIGITAL CORP,WDC,D000069788,,
W E C ENERGY GROUP INC,WEC,D000029889,,
WELLS FARGO & CO NEW,WFC,D000019743,,
WHOLE FOODS MARKET INC,WFM,D000031048,,
WHIRLPOOL CORP,WHR,D000029842,,
WILLIS TOWERS WATSON PUB LTD CO,WLTW,D000070677,,
WASTE MANAGEMENT INC DEL,WM,D000000161,,
WILLIAMS COS,WMB,D000000480,,
WAL MART STORES INC,WMT,D000000367,,
WESTERN UNION CO,WU,D000029829,,
WEYERHAEUSER CO,WY,D000000430,,
WYNDHAM WORLDWIDE CORP,WYN,D000029934,,Renamed to Wyndham destinations
WYNN RESORTS LTD,WYNN,D000022328,,
CIMAREX ENERGY CO,XEC,D000071074,,
X C E L ENERGY INC,XEL,D000022329,,
X L GROUP LTD,XL,D000021855,,Renamed to AXA XL
XILINX INC,XLNX,D000070777,,
EXXON MOBIL CORP,XOM,D000000129,,
DENTSPLY SIRONA INC,XRAY,,,No match
XEROX CORP,XRX,D000000607,,
XYLEM INC,XYL,D000071067,,
YAHOO INC,YHOO,D000022330,,
YUM BRANDS INC,YUM,D000029955,,
ZIMMER BIOMET HOLDINGS INC,ZBH,D000029967,,
ZIONS BANCORPORATION,ZION,D000029969,,
ZOETIS INC,ZTS,D000022855,,
